Datetime of new data,Total delay (seconds),Error occurred?
4/7/2020 2:22:28.362,1.558570147,0
4/7/2020 2:22:45.880,1.406544209,0
4/7/2020 2:23:02.935,1.518388987,0
4/7/2020 2:23:19.163,1.715353012,0
4/7/2020 2:23:35.746,1.50459218,0
4/7/2020 2:23:51.941,1.755919933,0
4/7/2020 2:24:08.201,1.48477602,0
4/7/2020 2:24:24.486,1.537949085,0
4/7/2020 2:24:40.676,1.481381893,0
4/7/2020 2:24:57.236,1.53824091,0
4/7/2020 2:25:13.500,1.528345108,0
4/7/2020 2:25:29.707,1.496702909,0
4/7/2020 2:25:45.902,1.542209864,0
4/7/2020 2:26:02.223,1.37656498,0
4/7/2020 2:26:18.417,1.445132017,0
4/7/2020 2:26:34.612,1.505759954,0
4/7/2020 2:26:50.799,1.474733114,0
4/7/2020 2:27:07.006,1.376519203,0
4/7/2020 2:27:23.200,1.535214901,0
4/7/2020 2:27:39.399,1.510114193,0
4/7/2020 2:27:55.602,1.685097933,0
4/7/2020 2:28:11.846,1.510975122,0
4/7/2020 2:28:28.094,1.502532005,0
4/7/2020 2:28:44.362,1.543550014,0
4/7/2020 2:29:00.549,1.437208176,0
4/7/2020 2:29:17.853,1.486345053,0
4/7/2020 2:29:34.093,1.424752951,0
4/7/2020 2:29:50.800,1.572618008,0
4/7/2020 2:30:07.019,2.259916067,0
4/7/2020 2:30:24.069,1.396374941,0
4/7/2020 2:30:40.317,1.584893942,0
4/7/2020 2:30:56.500,1.467862129,0
4/7/2020 2:31:12.707,1.452682018,0
4/7/2020 2:31:28.975,1.46429491,0
4/7/2020 2:31:45.162,1.639442921,0
4/7/2020 2:32:01.528,1.46386981,0
4/7/2020 2:32:17.715,1.441901922,0
4/7/2020 2:32:33.959,1.465220928,0
4/7/2020 2:32:50.162,1.518656015,0
4/7/2020 2:33:07.536,1.481774092,0
4/7/2020 2:33:23.776,1.48826313,0
4/7/2020 2:33:39.974,1.480270863,0
4/7/2020 2:33:56.157,1.393953085,0
4/7/2020 2:34:12.437,1.497581959,0
4/7/2020 2:34:28.914,1.465847015,0
4/7/2020 2:34:45.109,2.538904905,0
4/7/2020 2:35:02.680,2.459696054,0
4/7/2020 2:35:19.932,1.448662043,0
4/7/2020 2:35:36.114,1.580108166,0
4/7/2020 2:35:56.859,1.485630989,0
4/7/2020 2:36:13.180,2.659156084,0
4/7/2020 2:36:30.780,1.453397036,0
4/7/2020 2:36:46.971,1.593793869,0
4/7/2020 2:37:03.259,1.429502964,0
4/7/2020 2:37:19.540,1.495862007,0
4/7/2020 2:37:35.788,1.452127934,0
4/7/2020 2:37:51.978,1.46905303,0
4/7/2020 2:38:08.227,1.406129122,0
4/7/2020 2:38:24.524,1.483610868,0
4/7/2020 2:38:40.763,1.46428895,0
4/7/2020 2:38:56.966,1.457182884,0
4/7/2020 2:39:13.152,1.526813984,0
4/7/2020 2:39:29.564,1.490191936,0
4/7/2020 2:39:46.947,2.011567116,0
4/7/2020 2:40:03.244,1.764753103,0
4/7/2020 2:40:19.504,2.007003069,0
4/7/2020 2:40:36.072,2.719418049,0
4/7/2020 2:40:53.318,1.507863998,0
4/7/2020 2:41:09.558,1.534030914,0
4/7/2020 2:41:25.823,1.453406096,0
4/7/2020 2:41:42.046,1.477540016,0
4/7/2020 2:41:59.080,1.447556973,0
4/7/2020 2:42:15.336,1.519333124,0
4/7/2020 2:42:31.642,1.496856928,0
4/7/2020 2:42:48.803,1.485841036,0
4/7/2020 2:43:05.006,1.433374166,0
4/7/2020 2:43:21.229,1.470215797,0
4/7/2020 2:43:37.469,1.476980925,0
4/7/2020 2:43:53.668,1.474045038,0
4/7/2020 2:44:09.887,1.470175028,0
4/7/2020 2:44:26.086,1.480221033,0
4/7/2020 2:44:42.276,1.461252213,0
4/7/2020 2:44:58.479,1.457437992,0
4/7/2020 2:45:14.670,1.469946861,0
4/7/2020 2:45:30.860,1.47046113,0
4/7/2020 2:45:47.055,1.44510603,0
4/7/2020 2:46:03.250,1.368492126,0
4/7/2020 2:46:19.432,1.59442997,0
